# M(MSol)        R(km)       nb_c(fm^-3)     cs2_c       mub_c(fm^-3) cs2_mub_Vavg  mub_cs2p_Vavg
5.577988949582557421e-01 1.328713769752097740e+01 2.236086641534925368e-01 1.897761003517252076e-01 1.009273055241054976e+03 1.879440908605375742e-04 4.023469540413541878e+00
5.841867108419133148e-01 1.325772989575989946e+01 2.268502975394777743e-01 2.011097044750609353e-01 1.012115931743257192e+03 1.986084991570192051e-04 4.034701899241039058e+00
6.118632487237954942e-01 1.322747766985366624e+01 2.300990367374551315e-01 2.130055141356666237e-01 1.015099995450850770e+03 2.097458263418617230e-04 4.046502833892104078e+00
6.408628829461344711e-01 1.320778115098780425e+01 2.333561950269377183e-01 2.254938092540683392e-01 1.018232814918165332e+03 2.213594509742030151e-04 4.058977141243642173e+00
6.712176046152300568e-01 1.319745012134715800e+01 2.366226772332746531e-01 2.386069232151278308e-01 1.021522228442939763e+03 2.334771562012061047e-04 4.071946824177781643e+00
7.029566792101930028e-01 1.318908589088209737e+01 2.398996284873396723e-01 2.523766798014743240e-01 1.024976694530895202e+03 2.461234763123863983e-04 4.085638354336431632e+00
7.361062921606941201e-01 1.318830468166457592e+01 2.431877334778873023e-01 2.668400081851135530e-01 1.028604927033411059e+03 2.593106643233189664e-04 4.099998147565997897e+00
7.706892224290941007e-01 1.319771725115426442e+01 2.464878313341952454e-01 2.820318615467771184e-01 1.032416270803268389e+03 2.730612378105342925e-04 4.115286930595067894e+00
8.067244370648383178e-01 1.320762666920779438e+01 2.498004437264918776e-01 2.979935070151664700e-01 1.036420444090632600e+03 2.874048941946598878e-04 4.131066611240019171e+00
8.442267152838018873e-01 1.321983002535079876e+01 2.531260692473505935e-01 3.147633270034882469e-01 1.040627744660735289e+03 3.023562420420393415e-04 4.147913499880124810e+00
8.832062851800277503e-01 1.323947557208847314e+01 2.564651040319859687e-01 3.323871585843682364e-01 1.045049021191979364e+03 3.179364123649549537e-04 4.165160876589296457e+00
9.236684307867090160e-01 1.326238431361371006e+01 2.598178510638903260e-01 3.509082391034981652e-01 1.049695728403417661e+03 3.341667198184053466e-04 4.184155924981131314e+00
9.656131089056736450e-01 1.328817506854472619e+01 2.631844760245074522e-01 3.703767474273800819e-01 1.054579894488872242e+03 3.510707894230470985e-04 4.203245485638619883e+00
1.009034617212020812e+00 1.331889729265704503e+01 2.665650768815898686e-01 3.908409157291926062e-01 1.059714243628619897e+03 3.686719675676816774e-04 4.223797039780639473e+00
1.053921212586331535e+00 1.335080273626154934e+01 2.699596572693870322e-01 4.123572015088451947e-01 1.065112186002957742e+03 3.869994377891747706e-04 4.245428396508362567e+00
1.100254811293591484e+00 1.338858822935815418e+01 2.733681386648689204e-01 4.349796603020182895e-01 1.070787871971773484e+03 4.060673474475289999e-04 4.267713106197385642e+00
1.148010738215767601e+00 1.342909485884229248e+01 2.767903236948379697e-01 4.587688408642989768e-01 1.076756219370488225e+03 4.259044402390292660e-04 4.291667938068040478e+00
1.197157425522726859e+00 1.346871924169587764e+01 2.802259591238889236e-01 4.837867152479819466e-01 1.083032989045765817e+03 4.465255096381222561e-04 4.316438648655471333e+00
1.247656245118144769e+00 1.350929049904446977e+01 2.836746948437602889e-01 5.100990056602183742e-01 1.089634823960487665e+03 4.679595395480921818e-04 4.343386381522162054e+00
1.299461360874014648e+00 1.354943163237646608e+01 2.871360641920397416e-01 5.377645616211305102e-01 1.096579232600624891e+03 4.902188929392857194e-04 4.368063070782382873e+00
1.352519609710007176e+00 1.359112176833700936e+01 2.906095686317895499e-01 5.669011586010261894e-01 1.103884811201083949e+03 5.133599826699997495e-04 4.395899790001819518e+00
1.406770563315057565e+00 1.363955433825807262e+01 2.940945849108538845e-01 5.975326370677181975e-01 1.111571117168301271e+03 5.373564317181815046e-04 4.431312674381101324e+00
1.462146453044895766e+00 1.368084584932107717e+01 2.975903924232244924e-01 6.297725041386926792e-01 1.119658794513642533e+03 5.622577776159702395e-04 4.462499090871726359e+00
1.518572384113602070e+00 1.372963221526370958e+01 3.010962322309976291e-01 6.636961299306466389e-01 1.128169745675118065e+03 5.880744279311179035e-04 4.496915518170716553e+00
1.575966479120666452e+00 1.377141909629235705e+01 3.046112182050742523e-01 6.993922948780939564e-01 1.137127030447423977e+03 6.148233069832541569e-04 4.530985324609472009e+00
1.634240177904864977e+00 1.381959804264963587e+01 3.081344067466427195e-01 7.369709218260069861e-01 1.146555086006266947e+03 6.425312667769667333e-04 4.570175297464681208e+00
1.693298608693968310e+00 1.386133649744655827e+01 3.116647465564542085e-01 7.765311923395796789e-01 1.156479682390183143e+03 6.712129964359116706e-04 4.610594209448318104e+00
1.753040978831235774e+00 1.391015831051367613e+01 3.152011177304157030e-01 8.181800804976823160e-01 1.166928109657282903e+03 7.008794851616572232e-04 4.650428538141990309e+00
1.813361128241156583e+00 1.395008474467503135e+01 3.187423322564939543e-01 8.620056550109007620e-01 1.177929280463677742e+03 7.315284286939228693e-04 4.697848482212799048e+00
1.874148106523803925e+00 1.399096416332021597e+01 3.222870756871180076e-01 9.081967489699750429e-01 1.189513636171423968e+03 7.632196053620344655e-04 4.740120164483245802e+00
